"08/05-29","4.21","cl","0"
"09/02-16","4.22","cl","0"
"09/17-19","4.225","cl","0"
"09/22-24","4.225","cl","0"
"09/25-26","4.225","cl","0"
"09/29-30","4.22","cl","0"
"10/01-01","4.22","cl","0"
"10/02-02","4.24","cl","0"
"10/03-03","4.24","cl","0"
"10/06-09","4.24","cl","286"
"10/14-14","4.235","cl","0"
"10/15-17","4.23","cl","100"
"10/20-24","4.225","cl","0"
"10/27-31","4.22","cl","0"
"11/03-04","4.215","cl","50"
"11/05-07","4.21","cl","0"
"11/10-10","4.205","cl","25"
"11/12-14","4.20","cl","0"
"11/17-18","4.195","cl","0"
"11/19-21","4.19","cl","0"
"11/24-26","4.185","cl","0"
"11/28-28","4.18","cl","0"
"12/01-01","4.18","cl","0"
"12/02-05","4.175","cl","0"
"12/08-10","4.17","cl","0"
"12/11-12","4.17","cl","500"
"12/15-15","4.16","cl","0"
"12/16-17","4.155","cl","0"
"12/18-19","4.15","cl","0"
"12/22-22","4.145","cl","0"
"12/23-24","4.14","cl","0"
"12/26-26","4.135","cl","0"
"12/29-30","4.13","cl","0"
"12/31-31","4.125","cl","0"
"01/02-02","4.125","cl","0"
"01/05-05","4.12","cl","0"
"01/06-08","4.115","cl","0"
"01/09-09","4.11","cl","0"
"01/12-12","4.11","cl","0"
"01/13-15","4.105","cl","0"
"01/16-16","4.10","cl","0"
"01/20-22","4.095","cl","0"
"01/23-23","4.09","cl","0"
"01/26-26","4.09","cl","0"
"01/27-29","4.085","cl","0"
"01/30-30","4.08","cl","0"
"02/02-02","4.08","cl","5"
"02/03-06","4.075","cl","0"
"02/09-11","4.07","cl","0"
"02/12-13","4.065","cl","0"
"02/17-19","4.06","cl","0"
"02/20-20","4.055","cl","0"
"02/23-24","4.055","cl","0"
"02/25-27","4.05","cl","0"
"Reverse","","","0"
